Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
81,3W,--,136.0,136.0,144.0,144.0,152.0,151.0,161.0,160.0,56,59,106.0,109.0,--,16°,17°,--,0,--,--
82,3W,--,27.0,26.0,27.0,26.0,55.0,52.0,55.0,52.0,7,7,39.0,39.0,--,22°,24°,--,0,--,--
83,3W,--,147.0,147.0,157.0,157.0,160.0,160.0,171.0,171.0,66,72,112.0,116.0,--,15°,17°,--,1L,--,--
84,3W,--,130.0,129.0,137.0,137.0,155.0,154.0,163.0,162.0,39,43,106.0,109.0,--,12°,14°,--,1R,--,--
85,8i,--,90.0,89.0,92.0,90.0,97.0,96.0,100.0,98.0,46,46,78.0,78.0,--,23°,25°,--,1R,--,--
86,8i,--,87.0,87.0,89.0,90.0,102.0,102.0,103.0,104.0,43,46,75.0,75.0,--,24°,26°,--,4L,--,--
87,8i,--,28.0,26.0,28.0,26.0,60.0,58.0,60.0,58.0,3,3,51.0,51.0,--,12°,13°,--,0,--,--
88,8i,--,81.0,79.0,82.0,80.0,114.0,112.0,115.0,113.0,23,23,84.0,85.0,--,16°,18°,--,3R,--,--
89,8i,--,72.0,72.0,73.0,72.0,78.0,78.0,79.0,79.0,43,43,66.0,67.0,--,29°,31°,--,2R,--,--
90,8i,--,93.0,92.0,95.0,94.0,98.0,97.0,101.0,100.0,66,66,76.0,76.0,--,30°,32°,--,1L,--,--
91,8i,--,95.0,94.0,97.0,96.0,98.0,97.0,101.0,100.0,62,62,81.0,82.0,--,26°,27°,--,1L,--,--
92,8i,--,84.0,83.0,86.0,84.0,113.0,110.0,114.0,112.0,20,20,85.0,86.0,--,13°,14°,--,2R,--,--
93,8i,--,94.0,94.0,96.0,96.0,97.0,96.0,100.0,98.0,79,82,78.0,79.0,--,34°,35°,--,2L,--,--
94,8i,--,84.0,83.0,85.0,85.0,86.0,86.0,87.0,87.0,62,62,76.0,77.0,--,28°,30°,--,2R,--,--
95,8i,--,87.0,86.0,89.0,87.0,91.0,91.0,93.0,92.0,66,66,73.0,73.0,--,33°,34°,--,2L,--,--
96,8i,--,91.0,90.0,93.0,92.0,94.0,93.0,96.0,95.0,66,69,75.0,76.0,--,30°,31°,--,0,--,--
97,8i,--,95.0,94.0,97.0,96.0,100.0,98.0,102.0,101.0,62,62,78.0,78.0,--,28°,30°,--,2L,--,--
98,8i,--,74.0,73.0,75.0,74.0,87.0,86.0,89.0,87.0,33,33,69.0,69.0,--,22°,24°,--,3L,--,--
99,7i,--,110.0,110.0,115.0,115.0,114.0,114.0,118.0,117.0,82,85,87.0,88.0,--,30°,31°,--,1L,--,--
100,7i,--,95.0,95.0,97.0,97.0,97.0,97.0,100.0,100.0,82,85,80.0,81.0,--,34°,35°,--,1R,--,--
101,7i,--,106.0,105.0,110.0,108.0,127.0,125.0,130.0,128.0,39,39,88.0,89.0,--,17°,18°,--,1R,--,--
102,7i,--,28.0,27.0,28.0,27.0,56.0,55.0,56.0,55.0,7,7,44.0,44.0,--,20°,22°,--,0,--,--
103,7i,--,16.0,15.0,16.0,15.0,44.0,43.0,44.0,43.0,3,3,39.0,39.0,--,16°,17°,--,0,--,--
104,7i,--,32.0,30.0,32.0,30.0,58.0,57.0,58.0,57.0,10,10,46.0,46.0,--,20°,21°,--,0,--,--
