Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
1,9i,--,49.0,47.0,49.0,47.0,79.0,78.0,80.0,78.0,10,10,68.0,68.0,--,13°,15°,--,1R,--,--
2,9i,--,108.0,107.0,112.0,110.0,119.0,118.0,124.0,122.0,49,49,86.0,88.0,--,19°,20°,--,0,--,--
3,9i,--,93.0,92.0,95.0,94.0,100.0,98.0,102.0,101.0,56,56,78.0,78.0,--,24°,26°,--,1R,--,--
4,9i,--,92.0,91.0,94.0,93.0,105.0,105.0,107.0,106.0,43,43,77.0,78.0,--,23°,24°,--,2R,--,--
5,9i,--,97.0,97.0,101.0,100.0,113.0,113.0,116.0,115.0,46,46,81.0,82.0,--,20°,22°,--,3R,--,--
6,9i,--,62.0,61.0,62.0,61.0,93.0,92.0,93.0,92.0,16,16,70.0,70.0,--,16°,18°,--,2R,--,--
7,9i,--,26.0,20.0,26.0,20.0,81.0,74.0,81.0,74.0,0,0,80.0,81.0,--,4°,4°,--,0,--,--
8,9i,--,108.0,108.0,113.0,112.0,120.0,119.0,124.0,124.0,56,56,86.0,87.0,--,21°,22°,--,2L,--,--
9,9i,--,103.0,103.0,106.0,106.0,110.0,109.0,114.0,113.0,59,59,83.0,84.0,--,24°,25°,--,1L,--,--
10,9i,--,109.0,108.0,113.0,112.0,127.0,126.0,131.0,130.0,39,39,92.0,94.0,--,16°,17°,--,3R,--,--
11,9i,--,38.0,30.0,38.0,30.0,94.0,85.0,94.0,85.0,0,0,71.0,72.0,--,5°,5°,--,1R,--,--
12,9i,--,26.0,19.0,26.0,19.0,58.0,51.0,58.0,51.0,0,0,32.0,32.0,--,11°,13°,--,0,--,--
13,8i,--,108.0,107.0,112.0,110.0,132.0,131.0,136.0,136.0,36,36,92.0,94.0,--,15°,17°,--,4R,--,--
14,8i,--,98.0,97.0,101.0,100.0,105.0,104.0,108.0,106.0,56,56,78.0,79.0,--,25°,27°,--,1R,--,--
15,8i,--,95.0,91.0,97.0,92.0,131.0,127.0,133.0,129.0,13,13,94.0,96.0,--,9°,10°,--,1R,--,--
16,8i,--,114.0,113.0,119.0,118.0,121.0,120.0,126.0,125.0,62,66,92.0,94.0,--,22°,24°,--,1R,--,--
17,8i,--,114.0,114.0,119.0,118.0,121.0,120.0,126.0,126.0,62,66,92.0,94.0,--,22°,24°,--,1L,--,--
18,8i,--,73.0,68.0,73.0,69.0,122.0,117.0,124.0,118.0,7,7,98.0,100.0,--,6°,6°,--,1R,--,--
19,8i,--,63.0,61.0,65.0,61.0,103.0,101.0,104.0,101.0,10,10,88.0,89.0,--,9°,10°,--,1R,--,--
20,8i,--,110.0,110.0,115.0,114.0,120.0,119.0,125.0,124.0,56,59,90.0,92.0,--,22°,23°,--,0,--,--
21,8i,--,114.0,114.0,118.0,118.0,122.0,121.0,127.0,126.0,59,62,93.0,94.0,--,21°,23°,--,1R,--,--
22,8i,--,104.0,103.0,107.0,106.0,116.0,115.0,119.0,118.0,46,49,83.0,84.0,--,21°,23°,--,1L,--,--
23,8i,--,113.0,113.0,117.0,117.0,119.0,119.0,125.0,124.0,59,62,92.0,94.0,--,22°,24°,--,1L,--,--
24,8i,--,108.0,107.0,113.0,112.0,116.0,115.0,119.0,118.0,62,62,89.0,91.0,--,22°,24°,--,1R,--,--
25,8i,--,107.0,106.0,112.0,110.0,121.0,120.0,125.0,124.0,46,49,87.0,88.0,--,19°,21°,--,2R,--,--
26,8i,--,37.0,36.0,37.0,36.0,71.0,70.0,71.0,70.0,10,10,73.0,74.0,--,14°,15°,--,0,--,--
27,8i,--,57.0,55.0,57.0,55.0,94.0,92.0,94.0,92.0,10,10,73.0,73.0,--,12°,13°,--,0,--,--
28,8i,--,109.0,108.0,113.0,113.0,118.0,118.0,122.0,122.0,56,56,87.0,88.0,--,22°,23°,--,1R,--,--
29,8i,--,105.0,104.0,109.0,107.0,135.0,133.0,138.0,137.0,30,30,92.0,94.0,--,14°,16°,--,4R,--,--
30,8i,--,74.0,71.0,74.0,71.0,116.0,113.0,117.0,114.0,7,7,94.0,96.0,--,7°,8°,--,2R,--,--
31,8i,--,107.0,107.0,112.0,110.0,115.0,114.0,118.0,118.0,59,62,85.0,86.0,--,25°,26°,--,2R,--,--
32,7i,--,115.0,114.0,119.0,118.0,125.0,124.0,129.0,128.0,59,62,93.0,94.0,--,20°,22°,--,2R,--,--
33,7i,--,36.0,34.0,36.0,34.0,69.0,67.0,69.0,67.0,7,7,58.0,58.0,--,15°,16°,--,0,--,--
34,7i,--,105.0,104.0,108.0,107.0,115.0,114.0,118.0,117.0,46,49,85.0,85.0,--,21°,22°,--,2R,--,--
35,7i,--,16.0,15.0,16.0,15.0,24.0,24.0,24.0,24.0,13,13,31.0,31.0,--,20°,21°,--,0,--,--
36,7i,--,115.0,115.0,119.0,119.0,125.0,125.0,130.0,129.0,59,59,93.0,95.0,--,20°,22°,--,2R,--,--
37,7i,--,94.0,92.0,96.0,94.0,113.0,110.0,115.0,113.0,36,39,78.0,78.0,--,22°,24°,--,1R,--,--
38,7i,--,95.0,94.0,97.0,96.0,103.0,102.0,105.0,105.0,52,52,78.0,79.0,--,25°,27°,--,3R,--,--
39,7i,--,96.0,92.0,98.0,94.0,133.0,130.0,137.0,132.0,16,16,83.0,84.0,--,8°,9°,--,4R,--,--
40,7i,--,77.0,73.0,78.0,73.0,116.0,113.0,117.0,113.0,10,10,91.0,93.0,--,8°,9°,--,2R,--,--
41,7i,--,118.0,118.0,124.0,122.0,132.0,131.0,138.0,137.0,56,56,94.0,96.0,--,19°,20°,--,4R,--,--
42,7i,--,91.0,90.0,93.0,92.0,104.0,103.0,106.0,105.0,39,43,78.0,78.0,--,22°,24°,--,2R,--,--
43,7i,--,120.0,120.0,127.0,126.0,127.0,126.0,132.0,132.0,72,75,96.0,98.0,--,22°,23°,--,4R,--,--
44,7i,--,107.0,107.0,112.0,110.0,129.0,129.0,132.0,132.0,36,36,92.0,93.0,--,15°,17°,--,5R,--,--
45,7i,--,109.0,109.0,114.0,113.0,126.0,126.0,130.0,129.0,43,43,91.0,93.0,--,16°,17°,--,4R,--,--
46,7i,--,95.0,94.0,97.0,96.0,105.0,104.0,107.0,106.0,46,46,81.0,82.0,--,22°,23°,--,3R,--,--
