Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
3,8i,--,58.0,56.0,58.0,56.0,91.0,87.0,91.0,89.0,10,10,73.0,74.0,--,12°,13°,--,2L,--,--
4,8i,--,17.0,16.0,17.0,16.0,28.0,27.0,28.0,27.0,10,10,29.0,29.0,--,28°,29°,--,0,--,--
5,8i,--,52.0,49.0,54.0,49.0,95.0,91.0,95.0,91.0,7,7,74.0,75.0,--,9°,10°,--,0,--,--
6,8i,--,82.0,80.0,84.0,81.0,115.0,113.0,116.0,114.0,16,16,81.0,81.0,--,14°,15°,--,1R,--,--
7,8i,--,14.0,11.0,14.0,11.0,47.0,44.0,47.0,44.0,0,0,45.0,45.0,--,7°,8°,--,0,--,--
8,8i,--,16.0,14.0,16.0,14.0,44.0,42.0,44.0,42.0,3,3,44.0,44.0,--,12°,13°,--,0,--,--
9,8i,--,24.0,23.0,24.0,23.0,51.0,50.0,51.0,50.0,7,7,39.0,39.0,--,21°,23°,--,0,--,--
10,8i,--,25.0,24.0,25.0,24.0,54.0,52.0,54.0,52.0,7,7,47.0,47.0,--,16°,18°,--,0,--,--
11,8i,--,92.0,91.0,94.0,92.0,110.0,109.0,113.0,112.0,36,36,76.0,76.0,--,20°,22°,--,2R,--,--
12,8i,--,22.0,20.0,22.0,20.0,52.0,50.0,52.0,50.0,3,3,37.0,37.0,--,18°,19°,--,0,--,--
13,8i,--,31.0,28.0,31.0,28.0,61.0,59.0,61.0,59.0,7,7,48.0,48.0,--,16°,17°,--,0,--,--
14,8i,--,22.0,12.0,22.0,12.0,40.0,31.0,40.0,31.0,0,0,14.0,14.0,--,16°,17°,--,0,--,--
15,8i,--,42.0,35.0,42.0,35.0,90.0,83.0,90.0,83.0,3,3,65.0,65.0,--,6°,7°,--,0,--,--
16,8i,--,20.0,20.0,20.0,20.0,34.0,33.0,34.0,33.0,10,10,30.0,30.0,--,34°,35°,--,0,--,--
17,8i,--,75.0,74.0,77.0,74.0,108.0,107.0,109.0,107.0,20,20,76.0,76.0,--,16°,17°,--,1R,--,--
18,8i,--,62.0,55.0,62.0,55.0,108.0,101.0,109.0,101.0,3,3,71.0,71.0,--,6°,7°,--,0,--,--
19,8i,--,61.0,58.0,61.0,58.0,101.0,97.0,101.0,97.0,10,10,80.0,81.0,--,10°,11°,--,1L,--,--
20,8i,--,52.0,49.0,52.0,49.0,92.0,89.0,92.0,89.0,7,7,71.0,71.0,--,11°,12°,--,1R,--,--
21,8i,--,35.0,26.0,35.0,26.0,85.0,75.0,85.0,75.0,0,0,74.0,75.0,--,3°,4°,--,0,--,--
22,8i,--,86.0,84.0,89.0,86.0,122.0,120.0,125.0,122.0,16,20,83.0,83.0,--,13°,14°,--,1R,--,--
