Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
1,SW,--,17.0,14.0,17.0,14.0,46.0,44.0,46.0,44.0,3,3,43.0,43.0,--,11°,12°,--,0,--,--
2,SW,--,11.0,11.0,11.0,11.0,22.0,21.0,22.0,21.0,3,3,21.0,21.0,--,30°,31°,--,0,--,--
3,SW,--,19.0,17.0,19.0,17.0,38.0,37.0,38.0,37.0,7,7,30.0,30.0,--,24°,26°,--,0,--,--
4,SW,--,28.0,27.0,28.0,27.0,46.0,45.0,46.0,45.0,13,13,42.0,42.0,--,34°,35°,--,1L,--,--
5,SW,--,33.0,32.0,33.0,32.0,46.0,46.0,46.0,46.0,16,16,42.0,42.0,--,35°,36°,--,0,--,--
6,9i,--,40.0,40.0,40.0,40.0,65.0,63.0,65.0,63.0,16,16,51.0,51.0,--,25°,26°,--,1L,--,--
7,9i,--,85.0,84.0,87.0,85.0,104.0,103.0,106.0,104.0,33,33,77.0,78.0,--,18°,20°,--,1R,--,--
8,9i,--,97.0,95.0,101.0,97.0,121.0,119.0,124.0,121.0,30,30,85.0,86.0,--,14°,16°,--,0,--,--
9,9i,--,68.0,68.0,69.0,68.0,78.0,77.0,79.0,78.0,33,33,64.0,64.0,--,25°,27°,--,2L,--,--
10,9i,--,85.0,84.0,86.0,85.0,93.0,92.0,94.0,93.0,46,46,75.0,75.0,--,24°,26°,--,1R,--,--
11,9i,--,69.0,68.0,69.0,69.0,71.0,70.0,71.0,71.0,59,59,65.0,65.0,--,38°,39°,--,0,--,--
12,9i,--,77.0,77.0,78.0,78.0,80.0,79.0,81.0,80.0,72,72,69.0,70.0,--,39°,40°,--,1R,--,--
13,9i,--,94.0,93.0,96.0,95.0,97.0,96.0,100.0,98.0,66,69,78.0,78.0,--,29°,30°,--,0,--,--
14,9i,--,83.0,82.0,84.0,83.0,87.0,86.0,89.0,87.0,52,52,73.0,73.0,--,28°,30°,--,1R,--,--
15,9i,--,89.0,87.0,91.0,89.0,92.0,91.0,94.0,92.0,62,62,75.0,76.0,--,30°,31°,--,1L,--,--
16,9i,--,52.0,51.0,52.0,51.0,79.0,78.0,79.0,78.0,16,16,63.0,63.0,--,19°,21°,--,2L,--,--
17,9i,--,68.0,63.0,68.0,65.0,105.0,101.0,105.0,102.0,10,10,85.0,86.0,--,10°,11°,--,2R,--,--
18,9i,--,94.0,89.0,96.0,91.0,128.0,124.0,130.0,126.0,13,13,96.0,98.0,--,8°,9°,--,1R,--,--
19,9i,--,15.0,14.0,15.0,14.0,23.0,23.0,23.0,23.0,10,10,24.0,24.0,--,41°,41°,--,0,--,--
20,9i,--,80.0,80.0,81.0,81.0,105.0,104.0,106.0,105.0,30,30,78.0,78.0,--,19°,21°,--,3R,--,--
21,9i,--,47.0,46.0,47.0,46.0,80.0,78.0,80.0,78.0,10,10,63.0,63.0,--,16°,17°,--,1L,--,--
22,9i,--,80.0,79.0,81.0,80.0,84.0,83.0,85.0,84.0,49,49,70.0,70.0,--,30°,31°,--,0,--,--
23,9i,--,44.0,43.0,44.0,43.0,61.0,61.0,62.0,61.0,16,16,70.0,70.0,--,27°,28°,--,0,--,--
24,9i,--,102.0,100.0,105.0,102.0,129.0,127.0,132.0,129.0,26,30,86.0,88.0,--,14°,16°,--,1R,--,--
25,9i,--,97.0,96.0,100.0,98.0,100.0,98.0,103.0,102.0,75,79,78.0,78.0,--,34°,35°,--,1L,--,--
26,8i,--,85.0,84.0,86.0,85.0,89.0,87.0,91.0,90.0,56,59,73.0,73.0,--,29°,30°,--,1R,--,--
27,8i,--,100.0,98.0,102.0,101.0,109.0,108.0,113.0,112.0,46,49,84.0,85.0,--,21°,22°,--,0,--,--
28,8i,--,85.0,85.0,87.0,86.0,97.0,96.0,98.0,98.0,39,39,74.0,75.0,--,23°,25°,--,2L,--,--
29,8i,--,65.0,62.0,65.0,63.0,89.0,87.0,90.0,87.0,20,20,66.0,66.0,--,20°,21°,--,2L,--,--
30,8i,--,97.0,96.0,100.0,98.0,101.0,100.0,104.0,103.0,59,59,78.0,78.0,--,26°,28°,--,1L,--,--
31,8i,--,77.0,77.0,78.0,77.0,98.0,97.0,98.0,98.0,26,26,78.0,79.0,--,18°,20°,--,3R,--,--
32,8i,--,34.0,33.0,34.0,33.0,62.0,60.0,62.0,60.0,10,10,49.0,49.0,--,20°,22°,--,1L,--,--
33,8i,--,104.0,103.0,107.0,106.0,110.0,110.0,114.0,114.0,59,62,84.0,85.0,--,23°,25°,--,2L,--,--
34,8i,--,105.0,105.0,109.0,108.0,109.0,108.0,113.0,113.0,69,72,85.0,86.0,--,27°,28°,--,1L,--,--
35,8i,--,73.0,73.0,74.0,74.0,94.0,93.0,94.0,94.0,26,26,71.0,72.0,--,20°,22°,--,3L,--,--
36,8i,--,94.0,91.0,96.0,93.0,130.0,127.0,132.0,129.0,16,16,93.0,94.0,--,10°,11°,--,1R,--,--
37,8i,--,30.0,27.0,30.0,27.0,63.0,62.0,63.0,62.0,3,3,62.0,62.0,--,12°,13°,--,0,--,--
38,8i,--,34.0,33.0,34.0,33.0,65.0,62.0,65.0,62.0,7,7,55.0,55.0,--,17°,18°,--,0,--,--
39,8i,--,30.0,19.0,30.0,19.0,89.0,78.0,89.0,78.0,0,0,63.0,63.0,--,3°,3°,--,0,--,--
40,8i,--,95.0,94.0,97.0,96.0,114.0,113.0,116.0,115.0,39,39,78.0,78.0,--,22°,23°,--,2L,--,--
41,8i,--,75.0,75.0,77.0,75.0,82.0,81.0,82.0,82.0,46,46,67.0,67.0,--,30°,31°,--,1R,--,--
42,8i,--,91.0,90.0,93.0,92.0,95.0,95.0,97.0,96.0,52,56,76.0,77.0,--,27°,28°,--,1L,--,--
43,8i,--,57.0,56.0,57.0,57.0,83.0,82.0,83.0,82.0,16,16,64.0,65.0,--,20°,22°,--,2L,--,--
44,8i,--,114.0,114.0,119.0,118.0,138.0,138.0,143.0,142.0,39,43,91.0,93.0,--,16°,17°,--,1R,--,--
45,8i,--,23.0,19.0,23.0,19.0,63.0,59.0,63.0,59.0,0,0,55.0,55.0,--,7°,7°,--,1R,--,--
46,8i,--,69.0,68.0,69.0,68.0,83.0,82.0,84.0,83.0,30,30,67.0,67.0,--,23°,25°,--,2R,--,--
47,7i,--,25.0,20.0,25.0,20.0,56.0,50.0,56.0,50.0,3,3,34.0,34.0,--,15°,16°,--,1R,--,--
48,7i,--,100.0,98.0,103.0,102.0,116.0,115.0,119.0,118.0,39,39,84.0,85.0,--,19°,21°,--,1R,--,--
49,7i,--,56.0,54.0,57.0,55.0,86.0,84.0,87.0,85.0,13,13,67.0,68.0,--,17°,18°,--,1R,--,--
50,7i,--,103.0,102.0,105.0,105.0,107.0,106.0,110.0,109.0,59,59,84.0,85.0,--,24°,25°,--,2R,--,--
51,7i,--,113.0,110.0,117.0,115.0,118.0,116.0,122.0,120.0,62,62,90.0,91.0,--,23°,24°,--,1L,--,--
52,7i,--,79.0,77.0,80.0,78.0,106.0,105.0,107.0,105.0,20,20,76.0,77.0,--,16°,17°,--,2R,--,--
53,7i,--,113.0,113.0,117.0,117.0,121.0,120.0,126.0,125.0,62,66,91.0,93.0,--,22°,24°,--,1L,--,--
54,7i,--,102.0,101.0,105.0,104.0,114.0,113.0,116.0,115.0,49,49,83.0,84.0,--,21°,23°,--,1R,--,--
55,7i,--,28.0,27.0,28.0,27.0,56.0,55.0,56.0,55.0,7,7,43.0,43.0,--,22°,23°,--,1L,--,--
56,7i,--,60.0,60.0,61.0,60.0,93.0,92.0,94.0,93.0,16,16,73.0,73.0,--,16°,17°,--,2L,--,--
57,7i,--,26.0,23.0,26.0,23.0,75.0,71.0,75.0,71.0,3,3,65.0,66.0,--,7°,7°,--,0,--,--
58,7i,--,73.0,70.0,74.0,71.0,107.0,104.0,107.0,105.0,13,13,86.0,88.0,--,11°,12°,--,2R,--,--
59,7i,--,65.0,60.0,65.0,60.0,104.0,100.0,105.0,101.0,7,7,83.0,83.0,--,9°,10°,--,1R,--,--
60,7i,--,20.0,19.0,20.0,19.0,32.0,31.0,32.0,31.0,10,10,34.0,34.0,--,37°,38°,--,0,--,--
61,7i,--,105.0,103.0,108.0,106.0,115.0,114.0,118.0,117.0,49,52,83.0,83.0,--,23°,24°,--,1R,--,--
62,7i,--,113.0,113.0,118.0,117.0,119.0,119.0,124.0,124.0,59,62,91.0,92.0,--,22°,24°,--,2L,--,--
63,7i,--,84.0,83.0,85.0,84.0,112.0,110.0,113.0,112.0,26,30,75.0,75.0,--,19°,21°,--,3L,--,--
64,7i,--,104.0,104.0,107.0,107.0,114.0,113.0,117.0,116.0,49,52,83.0,84.0,--,22°,23°,--,1L,--,--
