Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
1,SW,--,15.0,14.0,15.0,14.0,35.0,34.0,35.0,34.0,3,3,29.0,29.0,--,23°,25°,--,0,--,--
2,SW,--,19.0,17.0,19.0,17.0,39.0,38.0,39.0,38.0,7,7,38.0,38.0,--,18°,20°,--,0,--,--
3,SW,--,14.0,14.0,14.0,14.0,31.0,30.0,31.0,30.0,7,7,26.0,26.0,--,29°,30°,--,0,--,--
4,SW,--,19.0,17.0,19.0,17.0,36.0,35.0,36.0,35.0,7,7,31.0,31.0,--,29°,30°,--,0,--,--
5,SW,--,21.0,20.0,21.0,20.0,42.0,39.0,42.0,39.0,7,7,29.0,29.0,--,22°,23°,--,0,--,--
6,8i,--,90.0,89.0,92.0,91.0,97.0,96.0,100.0,98.0,49,49,74.0,75.0,--,26°,27°,--,2L,--,--
7,8i,--,87.0,85.0,89.0,87.0,106.0,104.0,108.0,106.0,30,33,78.0,78.0,--,18°,19°,--,1L,--,--
8,8i,--,65.0,62.0,66.0,63.0,95.0,93.0,95.0,94.0,10,10,82.0,83.0,--,10°,11°,--,2R,--,--
9,8i,--,93.0,91.0,95.0,92.0,119.0,117.0,121.0,118.0,23,23,86.0,87.0,--,14°,15°,--,2R,--,--
10,8i,--,27.0,25.0,27.0,25.0,55.0,52.0,55.0,52.0,7,7,42.0,42.0,--,21°,23°,--,0,--,--
11,8i,--,103.0,102.0,105.0,104.0,107.0,106.0,110.0,109.0,66,66,83.0,83.0,--,26°,28°,--,1L,--,--
12,8i,--,91.0,90.0,92.0,92.0,92.0,92.0,94.0,93.0,69,69,81.0,81.0,--,27°,29°,--,2R,--,--
13,8i,--,26.0,25.0,26.0,25.0,49.0,48.0,49.0,48.0,10,10,30.0,30.0,--,36°,37°,--,0,--,--
14,8i,--,84.0,83.0,86.0,85.0,97.0,96.0,100.0,97.0,36,36,77.0,78.0,--,20°,22°,--,3R,--,--
15,8i,--,96.0,96.0,100.0,98.0,102.0,101.0,104.0,103.0,59,62,82.0,83.0,--,25°,27°,--,2R,--,--
16,8i,--,90.0,89.0,92.0,91.0,92.0,91.0,94.0,93.0,66,69,75.0,76.0,--,30°,31°,--,1R,--,--
17,8i,--,27.0,26.0,27.0,26.0,54.0,52.0,54.0,52.0,10,10,35.0,35.0,--,26°,28°,--,0,--,--
18,8i,--,93.0,92.0,95.0,94.0,96.0,95.0,98.0,97.0,62,62,81.0,81.0,--,25°,27°,--,1R,--,--
19,8i,--,70.0,69.0,70.0,70.0,77.0,77.0,78.0,77.0,36,36,67.0,67.0,--,28°,30°,--,2R,--,--
20,8i,--,91.0,91.0,93.0,92.0,93.0,93.0,95.0,95.0,66,66,80.0,81.0,--,28°,30°,--,2R,--,--
21,8i,--,105.0,104.0,108.0,107.0,107.0,106.0,110.0,109.0,79,82,88.0,89.0,--,26°,28°,--,2L,--,--
