Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
52,3W,--,33.0,31.0,33.0,31.0,68.0,66.0,68.0,66.0,7,7,58.0,58.0,--,13°,14°,--,0,--,--
53,3W,--,154.0,154.0,167.0,167.0,173.0,173.0,186.0,186.0,66,72,115.0,119.0,--,15°,17°,--,3R,--,--
54,3W,--,131.0,130.0,139.0,138.0,167.0,167.0,175.0,175.0,23,26,117.0,122.0,--,8°,9°,--,4R,--,--
55,3W,--,173.0,173.0,189.0,190.0,191.0,191.0,208.0,208.0,82,89,121.0,126.0,--,15°,17°,--,2L,--,--
56,3W,--,137.0,139.0,145.0,148.0,172.0,175.0,180.0,184.0,30,33,116.0,119.0,--,11°,12°,--,6L,--,--
57,3W,--,159.0,159.0,173.0,173.0,180.0,180.0,194.0,194.0,66,72,116.0,119.0,--,14°,15°,--,2R,--,--
58,3W,--,67.0,63.0,67.0,63.0,116.0,113.0,116.0,114.0,7,7,104.0,107.0,--,7°,8°,--,2L,--,--
59,3W,--,68.0,60.0,68.0,60.0,120.0,113.0,121.0,114.0,3,3,90.0,91.0,--,5°,6°,--,0,--,--
60,3W,--,153.0,153.0,165.0,165.0,184.0,184.0,196.0,196.0,46,49,117.0,121.0,--,11°,12°,--,6R,--,--
61,3W,--,170.0,170.0,186.0,186.0,188.0,188.0,205.0,205.0,75,82,119.0,124.0,--,15°,16°,--,1L,--,--
62,3W,--,39.0,37.0,39.0,37.0,72.0,70.0,72.0,70.0,7,7,59.0,59.0,--,14°,16°,--,0,--,--
63,3W,--,128.0,128.0,136.0,136.0,133.0,133.0,140.0,140.0,56,59,108.0,112.0,--,14°,16°,--,5L,--,--
64,3W,--,156.0,156.0,170.0,170.0,190.0,190.0,203.0,203.0,39,43,122.0,127.0,--,9°,10°,--,3R,--,--
65,3W,--,100.0,100.0,103.0,102.0,151.0,150.0,154.0,153.0,10,10,121.0,126.0,--,6°,6°,--,2L,--,--
66,3W,--,87.0,81.0,90.0,82.0,147.0,139.0,148.0,141.0,3,3,122.0,127.0,--,4°,5°,--,2R,--,--
67,D,--,156.0,156.0,170.0,170.0,166.0,166.0,179.0,179.0,92,98,117.0,122.0,--,18°,19°,--,6R,--,--
68,D,--,162.0,162.0,176.0,176.0,194.0,194.0,208.0,208.0,46,49,120.0,124.0,--,12°,13°,--,2R,--,--
69,D,--,106.0,106.0,109.0,109.0,121.0,121.0,125.0,126.0,39,39,104.0,107.0,--,16°,18°,--,7R,--,--
70,D,--,145.0,147.0,156.0,157.0,160.0,160.0,170.0,171.0,72,75,111.0,114.0,--,17°,18°,--,7R,--,--
71,D,--,20.0,20.0,20.0,20.0,32.0,32.0,32.0,32.0,10,10,29.0,29.0,--,37°,38°,--,0,--,--
72,D,--,151.0,151.0,163.0,162.0,175.0,175.0,187.0,186.0,56,59,112.0,117.0,--,14°,15°,--,2R,--,--
73,D,--,137.0,137.0,145.0,145.0,150.0,149.0,159.0,157.0,59,62,106.0,109.0,--,16°,18°,--,3R,--,--
74,D,--,174.0,174.0,190.0,191.0,192.0,192.0,209.0,210.0,79,85,121.0,126.0,--,15°,17°,--,2R,--,--
75,D,--,141.0,141.0,151.0,151.0,167.0,166.0,176.0,176.0,49,52,110.0,113.0,--,13°,14°,--,4R,--,--
76,D,--,150.0,150.0,161.0,161.0,153.0,153.0,164.0,164.0,82,89,118.0,122.0,--,18°,19°,--,7R,--,--
77,D,--,159.0,157.0,172.0,171.0,174.0,173.0,187.0,187.0,75,82,117.0,121.0,--,16°,17°,--,3R,--,--
78,D,--,156.0,155.0,170.0,168.0,175.0,174.0,188.0,187.0,72,79,116.0,121.0,--,17°,18°,--,6R,--,--
79,D,--,162.0,162.0,176.0,176.0,183.0,183.0,197.0,197.0,75,82,118.0,122.0,--,16°,17°,--,4R,--,--
80,D,--,164.0,164.0,179.0,179.0,188.0,188.0,202.0,202.0,62,66,119.0,124.0,--,13°,15°,--,0,--,--
81,D,--,150.0,150.0,162.0,162.0,166.0,166.0,177.0,177.0,72,75,114.0,119.0,--,16°,17°,--,6R,--,--
82,D,--,149.0,149.0,160.0,160.0,175.0,175.0,186.0,186.0,52,56,113.0,117.0,--,13°,15°,--,2R,--,--
83,D,--,170.0,170.0,186.0,186.0,196.0,196.0,212.0,212.0,59,62,123.0,129.0,--,12°,13°,--,6R,--,--
84,D,--,153.0,153.0,165.0,165.0,182.0,182.0,194.0,194.0,46,49,120.0,125.0,--,9°,10°,--,6R,--,--
85,D,--,189.0,189.0,209.0,209.0,212.0,212.0,232.0,233.0,72,79,130.0,136.0,--,12°,13°,--,0,--,--
86,D,--,85.0,83.0,86.0,85.0,115.0,113.0,116.0,115.0,16,16,84.0,85.0,--,20°,21°,--,0,--,--
87,D,--,143.0,142.0,153.0,153.0,184.0,183.0,194.0,194.0,20,20,122.0,127.0,--,5°,6°,--,2R,--,--
88,D,--,38.0,36.0,38.0,36.0,73.0,71.0,73.0,71.0,7,7,58.0,58.0,--,13°,14°,--,0,--,--
89,D,--,176.0,176.0,192.0,194.0,195.0,195.0,211.0,212.0,72,79,124.0,129.0,--,13°,14°,--,0,--,--
90,D,--,180.0,180.0,198.0,199.0,206.0,206.0,224.0,224.0,62,69,128.0,133.0,--,11°,12°,--,3L,--,--
91,D,--,167.0,167.0,183.0,183.0,186.0,186.0,201.0,201.0,72,79,120.0,125.0,--,16°,17°,--,4R,--,--
92,D,--,186.0,186.0,205.0,205.0,217.0,217.0,236.0,236.0,56,62,131.0,137.0,--,11°,12°,--,1R,--,--
93,D,--,155.0,155.0,167.0,167.0,190.0,191.0,203.0,203.0,33,36,124.0,130.0,--,11°,12°,--,8L,--,--
94,D,--,185.0,186.0,205.0,205.0,207.0,207.0,226.0,226.0,75,82,129.0,134.0,--,13°,14°,--,4R,--,--
95,D,--,164.0,164.0,178.0,179.0,203.0,203.0,218.0,219.0,33,36,130.0,135.0,--,9°,10°,--,6L,--,--
96,D,--,153.0,154.0,165.0,166.0,190.0,190.0,202.0,203.0,33,36,126.0,131.0,--,12°,13°,--,8L,--,--
97,D,--,174.0,175.0,191.0,191.0,211.0,211.0,229.0,229.0,39,43,127.0,133.0,--,8°,9°,--,1R,--,--
98,D,--,183.0,183.0,201.0,201.0,206.0,206.0,224.0,224.0,69,75,129.0,135.0,--,12°,13°,--,4R,--,--
99,D,--,187.0,187.0,207.0,207.0,202.0,202.0,222.0,223.0,92,98,129.0,135.0,--,15°,17°,--,0,--,--
100,D,--,185.0,185.0,203.0,205.0,206.0,206.0,225.0,225.0,72,82,128.0,134.0,--,14°,15°,--,1L,--,--
101,D,--,179.0,179.0,197.0,197.0,200.0,200.0,219.0,219.0,72,79,126.0,130.0,--,13°,14°,--,1R,--,--
102,D,--,155.0,155.0,168.0,168.0,180.0,182.0,194.0,194.0,33,36,119.0,123.0,--,12°,13°,--,7L,--,--
103,D,--,187.0,187.0,207.0,207.0,206.0,206.0,225.0,225.0,82,89,129.0,135.0,--,15°,16°,--,3R,--,--
104,D,--,176.0,176.0,194.0,194.0,195.0,195.0,212.0,212.0,79,85,126.0,130.0,--,13°,15°,--,2R,--,--
105,D,--,166.0,166.0,182.0,183.0,188.0,188.0,203.0,203.0,72,79,121.0,126.0,--,14°,16°,--,6R,--,--
106,D,--,188.0,188.0,209.0,209.0,211.0,211.0,232.0,232.0,56,62,129.0,134.0,--,11°,12°,--,0,--,--
107,D,--,179.0,179.0,198.0,198.0,202.0,202.0,221.0,221.0,66,72,127.0,132.0,--,12°,14°,--,7R,--,--
108,D,--,119.0,116.0,125.0,121.0,166.0,163.0,172.0,168.0,13,13,125.0,130.0,--,5°,6°,--,3R,--,--
109,D,--,32.0,25.0,32.0,25.0,82.0,75.0,82.0,75.0,0,0,63.0,63.0,--,6°,6°,--,1R,--,--
110,D,--,186.0,186.0,206.0,206.0,205.0,205.0,224.0,224.0,85,92,129.0,134.0,--,13°,14°,--,1R,--,--
111,D,--,166.0,167.0,183.0,183.0,199.0,199.0,214.0,214.0,39,43,130.0,136.0,--,10°,11°,--,10L,--,--
112,D,--,157.0,155.0,171.0,168.0,192.0,191.0,207.0,205.0,36,39,122.0,127.0,--,12°,13°,--,4L,--,--
113,D,--,187.0,188.0,208.0,208.0,209.0,209.0,229.0,229.0,79,85,130.0,135.0,--,13°,14°,--,0,--,--
114,D,--,172.0,172.0,188.0,188.0,205.0,205.0,221.0,221.0,52,56,124.0,129.0,--,11°,12°,--,2R,--,--
