Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
4,8i,--,39.0,37.0,39.0,37.0,70.0,68.0,70.0,68.0,7,7,60.0,60.0,--,14°,15°,--,1L,--,--
5,8i,--,75.0,74.0,77.0,75.0,80.0,79.0,81.0,80.0,46,46,65.0,66.0,--,31°,32°,--,0,--,--
6,8i,--,94.0,93.0,96.0,95.0,97.0,96.0,100.0,98.0,72,72,76.0,76.0,--,34°,35°,--,0,--,--
7,8i,--,70.0,69.0,71.0,70.0,91.0,90.0,91.0,90.0,23,26,68.0,68.0,--,22°,23°,--,2L,--,--
8,8i,--,69.0,63.0,69.0,63.0,114.0,108.0,115.0,108.0,7,7,92.0,94.0,--,7°,7°,--,0,--,--
9,8i,--,90.0,89.0,92.0,91.0,96.0,95.0,98.0,96.0,52,56,76.0,77.0,--,26°,28°,--,0,--,--
10,8i,--,95.0,94.0,97.0,96.0,100.0,98.0,102.0,101.0,59,59,75.0,75.0,--,28°,30°,--,1L,--,--
11,8i,--,13.0,13.0,13.0,13.0,35.0,34.0,35.0,34.0,3,3,33.0,33.0,--,25°,27°,--,0,--,--
12,8i,--,87.0,85.0,90.0,87.0,106.0,105.0,108.0,106.0,33,33,76.0,76.0,--,21°,22°,--,2L,--,--
13,8i,--,92.0,91.0,94.0,93.0,102.0,101.0,104.0,103.0,43,43,76.0,76.0,--,23°,25°,--,1R,--,--
14,8i,--,87.0,86.0,90.0,89.0,101.0,100.0,103.0,101.0,39,39,75.0,75.0,--,23°,24°,--,2L,--,--
15,8i,--,70.0,69.0,70.0,69.0,86.0,85.0,87.0,86.0,26,26,71.0,71.0,--,20°,22°,--,2R,--,--
16,8i,--,80.0,78.0,81.0,79.0,87.0,86.0,89.0,87.0,39,43,67.0,68.0,--,28°,29°,--,1L,--,--
17,8i,--,61.0,60.0,61.0,60.0,85.0,84.0,86.0,85.0,20,20,65.0,65.0,--,21°,23°,--,2L,--,--
18,8i,--,51.0,49.0,52.0,49.0,94.0,91.0,94.0,91.0,7,7,83.0,84.0,--,10°,11°,--,1L,--,--
19,D,--,116.0,115.0,120.0,119.0,157.0,156.0,162.0,161.0,16,16,122.0,127.0,--,8°,9°,--,3L,--,--
20,D,--,35.0,34.0,36.0,34.0,68.0,67.0,68.0,67.0,7,7,56.0,56.0,--,15°,16°,--,1L,--,--
21,D,--,57.0,52.0,57.0,52.0,106.0,102.0,107.0,102.0,7,7,102.0,105.0,--,7°,8°,--,0,--,--
22,D,--,167.0,167.0,183.0,183.0,198.0,198.0,213.0,213.0,52,56,121.0,126.0,--,11°,12°,--,5R,--,--
23,D,--,174.0,174.0,190.0,190.0,211.0,211.0,227.0,227.0,36,43,130.0,135.0,--,9°,10°,--,2L,--,--
24,D,--,176.0,176.0,192.0,194.0,210.0,211.0,227.0,229.0,46,52,129.0,134.0,--,10°,11°,--,5L,--,--
25,D,--,100.0,100.0,102.0,102.0,138.0,138.0,141.0,141.0,16,16,103.0,106.0,--,10°,11°,--,4L,--,--
26,D,--,191.0,192.0,213.0,213.0,213.0,213.0,234.0,234.0,75,82,130.0,136.0,--,12°,13°,--,1L,--,--
27,D,--,152.0,152.0,164.0,164.0,192.0,192.0,205.0,205.0,30,30,121.0,126.0,--,8°,9°,--,5L,--,--
28,D,--,172.0,172.0,188.0,188.0,200.0,200.0,217.0,217.0,43,46,131.0,137.0,--,12°,13°,--,9L,--,--
29,D,--,23.0,16.0,23.0,16.0,90.0,83.0,90.0,83.0,0,0,81.0,81.0,--,2°,3°,--,2R,--,--
30,D,--,167.0,167.0,183.0,183.0,208.0,209.0,223.0,224.0,33,33,130.0,135.0,--,8°,9°,--,6L,--,--
31,D,--,196.0,196.0,218.0,218.0,212.0,212.0,234.0,234.0,92,102,134.0,140.0,--,14°,16°,--,1R,--,--
32,D,--,124.0,124.0,130.0,130.0,155.0,155.0,162.0,162.0,23,26,111.0,115.0,--,9°,9°,--,5L,--,--
33,D,--,136.0,136.0,144.0,144.0,157.0,157.0,166.0,166.0,43,46,109.0,113.0,--,12°,14°,--,6R,--,--
34,D,--,189.0,189.0,210.0,210.0,219.0,219.0,238.0,238.0,59,62,132.0,137.0,--,12°,13°,--,2L,--,--
35,D,--,180.0,180.0,199.0,199.0,209.0,209.0,227.0,227.0,56,62,129.0,134.0,--,11°,12°,--,1L,--,--
36,D,--,163.0,163.0,177.0,177.0,194.0,194.0,209.0,209.0,36,39,128.0,134.0,--,11°,12°,--,6L,--,--
37,D,--,116.0,116.0,120.0,121.0,141.0,141.0,147.0,147.0,23,23,108.0,112.0,--,8°,9°,--,4L,--,--
38,D,--,100.0,102.0,103.0,105.0,144.0,147.0,147.0,149.0,13,13,121.0,126.0,--,8°,9°,--,3L,--,--
39,D,--,119.0,120.0,126.0,126.0,148.0,149.0,154.0,154.0,23,26,109.0,112.0,--,9°,9°,--,4L,--,--
40,D,--,118.0,119.0,124.0,125.0,155.0,156.0,161.0,162.0,16,16,116.0,119.0,--,6°,7°,--,4L,--,--
41,D,--,102.0,103.0,105.0,106.0,141.0,142.0,144.0,145.0,16,16,121.0,126.0,--,9°,10°,--,3L,--,--
42,D,--,96.0,98.0,98.0,101.0,137.0,139.0,140.0,141.0,13,13,131.0,137.0,--,8°,9°,--,4L,--,--
43,D,--,196.0,197.0,218.0,219.0,214.0,215.0,236.0,237.0,82,92,133.0,139.0,--,14°,15°,--,5L,--,--
44,D,--,182.0,182.0,200.0,201.0,220.0,220.0,238.0,238.0,46,52,131.0,137.0,--,9°,10°,--,5L,--,--
45,D,--,145.0,145.0,156.0,156.0,185.0,185.0,196.0,196.0,23,26,122.0,127.0,--,7°,8°,--,0,--,--
46,D,--,148.0,148.0,159.0,159.0,174.0,175.0,186.0,186.0,52,59,112.0,117.0,--,14°,15°,--,5R,--,--
47,D,--,106.0,107.0,109.0,112.0,136.0,137.0,139.0,141.0,20,20,124.0,129.0,--,10°,11°,--,4L,--,--
48,D,--,127.0,127.0,133.0,135.0,161.0,161.0,167.0,168.0,23,26,114.0,118.0,--,8°,8°,--,5L,--,--
49,D,--,51.0,49.0,51.0,50.0,90.0,89.0,91.0,89.0,7,7,90.0,91.0,--,12°,13°,--,2L,--,--
