Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
1,7i,--,102.0,101.0,104.0,103.0,105.0,104.0,108.0,107.0,62,62,83.0,83.0,--,26°,28°,--,1L,--,--
2,7i,--,27.0,22.0,27.0,22.0,61.0,56.0,61.0,56.0,3,3,39.0,39.0,--,14°,15°,--,0,--,--
3,7i,--,38.0,25.0,38.0,25.0,102.0,90.0,102.0,90.0,0,0,68.0,68.0,--,3°,3°,--,0,--,--
4,8i,--,94.0,93.0,96.0,95.0,98.0,96.0,101.0,98.0,59,59,77.0,78.0,--,27°,29°,--,1R,--,--
5,8i,--,106.0,106.0,110.0,109.0,115.0,114.0,118.0,118.0,56,59,88.0,89.0,--,21°,22°,--,2R,--,--
6,8i,--,100.0,98.0,102.0,101.0,103.0,102.0,105.0,104.0,75,79,81.0,81.0,--,31°,33°,--,0,--,--
7,8i,--,95.0,94.0,97.0,96.0,98.0,97.0,101.0,100.0,79,79,80.0,80.0,--,33°,34°,--,2R,--,--
8,8i,--,95.0,95.0,97.0,97.0,98.0,97.0,101.0,101.0,82,82,79.0,80.0,--,35°,36°,--,1R,--,--
9,7i,--,121.0,122.0,128.0,128.0,130.0,131.0,137.0,137.0,66,69,96.0,99.0,--,21°,23°,--,3L,--,--
10,7i,--,106.0,107.0,110.0,110.0,127.0,127.0,130.0,130.0,46,46,86.0,88.0,--,19°,21°,--,5L,--,--
11,7i,--,97.0,95.0,100.0,97.0,119.0,118.0,122.0,120.0,33,36,86.0,88.0,--,17°,19°,--,4R,--,--
12,7i,--,101.0,100.0,104.0,103.0,120.0,119.0,124.0,122.0,39,39,85.0,86.0,--,19°,20°,--,3R,--,--
13,7i,--,28.0,26.0,28.0,26.0,59.0,57.0,59.0,57.0,7,7,50.0,50.0,--,15°,17°,--,0,--,--
14,9i,--,83.0,82.0,84.0,84.0,94.0,94.0,95.0,95.0,43,43,71.0,71.0,--,26°,27°,--,3L,--,--
