Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
17,7i,--,122.0,121.0,128.0,127.0,131.0,130.0,137.0,136.0,69,72,95.0,98.0,--,21°,23°,--,2L,--,--
18,7i,--,121.0,121.0,128.0,127.0,140.0,139.0,145.0,144.0,52,52,98.0,101.0,--,18°,20°,--,4L,--,--
19,7i,--,132.0,132.0,140.0,140.0,148.0,147.0,155.0,154.0,62,66,101.0,104.0,--,19°,20°,--,1L,--,--
20,7i,--,32.0,26.0,32.0,26.0,80.0,75.0,80.0,75.0,3,3,62.0,62.0,--,6°,6°,--,0,--,--
21,9i,--,106.0,105.0,109.0,108.0,116.0,115.0,119.0,118.0,59,59,85.0,86.0,--,23°,25°,--,0,--,--
22,9i,--,93.0,91.0,95.0,93.0,124.0,121.0,126.0,124.0,26,26,83.0,84.0,--,15°,16°,--,3L,--,--
23,9i,--,84.0,83.0,85.0,85.0,87.0,87.0,90.0,89.0,72,72,70.0,70.0,--,39°,39°,--,1R,--,--
24,9i,--,110.0,110.0,115.0,115.0,129.0,130.0,133.0,135.0,39,39,95.0,97.0,--,15°,17°,--,3R,--,--
25,9i,--,28.0,27.0,28.0,27.0,55.0,54.0,55.0,54.0,10,10,48.0,48.0,--,20°,22°,--,0,--,--
26,9i,--,126.0,124.0,132.0,130.0,161.0,159.0,167.0,165.0,33,33,102.0,104.0,--,12°,13°,--,0,--,--
27,9i,--,132.0,132.0,140.0,140.0,157.0,157.0,166.0,165.0,46,49,104.0,107.0,--,14°,15°,--,1L,--,--
28,9i,--,121.0,120.0,127.0,126.0,143.0,142.0,149.0,148.0,49,49,94.0,96.0,--,17°,19°,--,1R,--,--
29,9i,--,44.0,25.0,44.0,25.0,114.0,95.0,114.0,95.0,0,0,73.0,74.0,--,2°,2°,--,1L,--,--
30,9i,--,62.0,51.0,62.0,51.0,118.0,107.0,119.0,108.0,3,3,101.0,104.0,--,3°,4°,--,0,--,--
31,D,--,33.0,31.0,33.0,31.0,63.0,61.0,63.0,61.0,7,7,52.0,52.0,--,15°,16°,--,0,--,--
32,D,--,36.0,26.0,36.0,26.0,95.0,85.0,95.0,85.0,0,0,87.0,88.0,--,3°,3°,--,0,--,--
33,D,--,39.0,37.0,39.0,37.0,72.0,69.0,72.0,69.0,7,7,58.0,58.0,--,14°,15°,--,0,--,--
34,D,--,61.0,55.0,61.0,55.0,110.0,104.0,110.0,104.0,3,3,108.0,112.0,--,6°,7°,--,1L,--,--
35,D,--,71.0,55.0,71.0,55.0,136.0,119.0,136.0,119.0,0,0,99.0,101.0,--,3°,3°,--,1L,--,--
36,D,--,38.0,36.0,38.0,36.0,70.0,68.0,70.0,68.0,7,7,58.0,58.0,--,16°,17°,--,0,--,--
37,D,--,153.0,152.0,165.0,165.0,187.0,186.0,199.0,198.0,36,39,102.0,104.0,--,9°,10°,--,3L,--,--
38,D,--,39.0,38.0,40.0,38.0,70.0,68.0,70.0,68.0,7,7,54.0,54.0,--,16°,18°,--,0,--,--
39,D,--,157.0,157.0,171.0,171.0,199.0,199.0,212.0,212.0,33,36,121.0,126.0,--,9°,10°,--,1L,--,--
40,D,--,100.0,97.0,103.0,100.0,151.0,149.0,154.0,151.0,13,13,114.0,118.0,--,5°,6°,--,2R,--,--
41,D,--,172.0,173.0,189.0,189.0,196.0,197.0,212.0,213.0,69,72,125.0,130.0,--,13°,15°,--,5R,--,--
42,D,--,91.0,89.0,93.0,90.0,137.0,133.0,139.0,136.0,10,10,131.0,137.0,--,8°,9°,--,3L,--,--
43,D,--,186.0,186.0,206.0,206.0,207.0,207.0,226.0,226.0,75,82,130.0,135.0,--,13°,14°,--,1L,--,--
44,D,--,164.0,164.0,179.0,179.0,199.0,199.0,213.0,214.0,43,46,122.0,127.0,--,10°,11°,--,1R,--,--
45,D,--,183.0,182.0,202.0,201.0,221.0,220.0,240.0,238.0,43,46,132.0,137.0,--,11°,12°,--,2L,--,--
46,D,--,70.0,66.0,71.0,66.0,115.0,110.0,116.0,112.0,7,7,117.0,122.0,--,9°,10°,--,2L,--,--
47,D,--,66.0,60.0,67.0,60.0,114.0,107.0,114.0,108.0,7,7,120.0,125.0,--,7°,8°,--,2L,--,--
48,D,--,172.0,172.0,188.0,188.0,186.0,186.0,202.0,202.0,69,75,131.0,137.0,--,13°,14°,--,3R,--,--
49,D,--,183.0,183.0,201.0,201.0,190.0,190.0,209.0,209.0,82,92,134.0,140.0,--,14°,15°,--,0,--,--
50,D,--,171.0,171.0,186.0,187.0,201.0,201.0,217.0,218.0,49,52,129.0,134.0,--,12°,13°,--,2R,--,--
51,D,--,152.0,152.0,164.0,164.0,195.0,195.0,207.0,207.0,26,26,111.0,115.0,--,7°,7°,--,2R,--,--
52,D,--,175.0,175.0,191.0,191.0,194.0,194.0,211.0,211.0,85,92,121.0,126.0,--,16°,17°,--,3R,--,--
53,D,--,163.0,163.0,178.0,178.0,185.0,185.0,199.0,199.0,56,62,130.0,136.0,--,12°,13°,--,5L,--,--
54,D,--,183.0,184.0,202.0,202.0,205.0,205.0,223.0,223.0,75,82,126.0,132.0,--,14°,15°,--,2R,--,--
55,D,--,170.0,171.0,186.0,186.0,198.0,199.0,214.0,214.0,52,56,129.0,134.0,--,11°,12°,--,3R,--,--
56,D,--,31.0,30.0,31.0,30.0,49.0,49.0,49.0,49.0,16,16,47.0,47.0,--,28°,29°,--,0,--,--
57,D,--,174.0,174.0,191.0,191.0,198.0,198.0,215.0,215.0,62,69,123.0,128.0,--,13°,14°,--,0,--,--
58,D,--,38.0,28.0,38.0,28.0,96.0,86.0,96.0,86.0,0,0,67.0,67.0,--,4°,4°,--,0,--,--
59,7i,--,125.0,125.0,131.0,131.0,138.0,137.0,144.0,143.0,59,62,97.0,99.0,--,19°,21°,--,0,--,--
60,7i,--,122.0,121.0,128.0,128.0,128.0,127.0,133.0,132.0,72,75,93.0,94.0,--,26°,27°,--,2L,--,--
61,7i,--,125.0,125.0,131.0,131.0,130.0,130.0,137.0,137.0,75,79,96.0,98.0,--,24°,25°,--,0,--,--
62,7i,--,105.0,104.0,108.0,107.0,124.0,122.0,127.0,126.0,43,46,86.0,87.0,--,20°,21°,--,3L,--,--
63,7i,--,122.0,121.0,128.0,128.0,128.0,127.0,133.0,133.0,72,75,96.0,98.0,--,23°,25°,--,1R,--,--
64,7i,--,126.0,126.0,132.0,132.0,154.0,153.0,161.0,160.0,43,46,101.0,103.0,--,14°,15°,--,0,--,--
65,7i,--,126.0,125.0,132.0,131.0,133.0,132.0,140.0,139.0,66,69,97.0,99.0,--,23°,25°,--,1L,--,--
66,7i,--,47.0,43.0,47.0,43.0,90.0,85.0,90.0,85.0,3,3,65.0,65.0,--,9°,10°,--,0,--,--
67,7i,--,124.0,122.0,130.0,129.0,128.0,127.0,135.0,133.0,79,85,94.0,96.0,--,26°,27°,--,1R,--,--
68,7i,--,121.0,121.0,128.0,127.0,129.0,128.0,135.0,133.0,66,69,94.0,96.0,--,23°,25°,--,0,--,--
69,8i,--,114.0,113.0,118.0,117.0,118.0,117.0,122.0,121.0,69,72,89.0,91.0,--,25°,27°,--,0,--,--
70,8i,--,118.0,118.0,124.0,122.0,132.0,131.0,138.0,137.0,59,62,94.0,96.0,--,21°,22°,--,1R,--,--
71,8i,--,104.0,104.0,107.0,107.0,107.0,107.0,110.0,110.0,72,75,84.0,85.0,--,30°,31°,--,2R,--,--
72,8i,--,107.0,107.0,112.0,110.0,116.0,116.0,120.0,119.0,62,62,86.0,86.0,--,24°,26°,--,1L,--,--
73,8i,--,100.0,98.0,103.0,101.0,108.0,107.0,110.0,109.0,52,56,83.0,84.0,--,23°,25°,--,2L,--,--
74,8i,--,108.0,107.0,113.0,112.0,113.0,112.0,117.0,116.0,69,72,85.0,86.0,--,26°,28°,--,1R,--,--
75,8i,--,108.0,107.0,112.0,110.0,113.0,112.0,116.0,116.0,62,66,83.0,85.0,--,26°,28°,--,0,--,--
76,8i,--,102.0,101.0,104.0,103.0,109.0,108.0,113.0,112.0,56,59,81.0,82.0,--,25°,26°,--,1L,--,--
77,8i,--,100.0,100.0,103.0,102.0,103.0,103.0,106.0,105.0,82,82,80.0,81.0,--,35°,36°,--,1R,--,--
78,8i,--,112.0,110.0,116.0,115.0,145.0,145.0,150.0,150.0,26,26,101.0,104.0,--,11°,12°,--,4R,--,--
79,9i,--,92.0,91.0,94.0,92.0,103.0,102.0,105.0,103.0,46,46,79.0,80.0,--,24°,26°,--,0,--,--
80,9i,--,113.0,113.0,118.0,117.0,117.0,116.0,121.0,120.0,82,85,88.0,89.0,--,30°,31°,--,1L,--,--
81,9i,--,106.0,105.0,109.0,108.0,110.0,109.0,114.0,113.0,69,72,83.0,83.0,--,29°,30°,--,1L,--,--
82,9i,--,115.0,112.0,119.0,116.0,152.0,149.0,156.0,153.0,16,16,101.0,103.0,--,7°,8°,--,2R,--,--
83,9i,--,39.0,37.0,39.0,37.0,72.0,70.0,72.0,70.0,7,7,58.0,58.0,--,15°,16°,--,0,--,--
84,9i,--,107.0,106.0,110.0,109.0,112.0,110.0,115.0,114.0,72,75,86.0,87.0,--,28°,30°,--,0,--,--
85,9i,--,92.0,91.0,94.0,93.0,96.0,94.0,98.0,96.0,69,69,76.0,77.0,--,32°,33°,--,2R,--,--
86,9i,--,110.0,109.0,115.0,114.0,114.0,113.0,118.0,117.0,85,89,85.0,86.0,--,32°,33°,--,1L,--,--
87,9i,--,107.0,106.0,110.0,109.0,110.0,109.0,114.0,113.0,82,85,84.0,85.0,--,31°,32°,--,0,--,--
88,9i,--,25.0,21.0,25.0,21.0,68.0,63.0,68.0,63.0,3,3,56.0,56.0,--,8°,9°,--,0,--,--
89,9i,--,102.0,101.0,105.0,104.0,106.0,105.0,109.0,108.0,69,72,82.0,83.0,--,30°,31°,--,1L,--,--
90,D,--,152.0,152.0,164.0,164.0,194.0,194.0,206.0,206.0,30,30,127.0,132.0,--,9°,10°,--,7L,--,--
91,D,--,49.0,37.0,49.0,37.0,114.0,102.0,114.0,102.0,0,0,95.0,97.0,--,3°,3°,--,1L,--,--
92,D,--,145.0,145.0,156.0,156.0,186.0,186.0,197.0,197.0,26,26,121.0,126.0,--,8°,8°,--,1L,--,--
93,D,--,98.0,98.0,101.0,101.0,100.0,100.0,102.0,102.0,62,62,84.0,85.0,--,26°,27°,--,4L,--,--
94,D,--,39.0,27.0,39.0,27.0,101.0,90.0,101.0,90.0,0,0,65.0,65.0,--,4°,4°,--,1L,--,--
95,D,--,28.0,21.0,28.0,21.0,89.0,81.0,89.0,81.0,0,0,67.0,68.0,--,5°,5°,--,1R,--,--
