Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
3,8i,--,93.0,92.0,95.0,94.0,115.0,113.0,117.0,115.0,36,39,79.0,80.0,--,20°,21°,--,2L,--,--
4,8i,--,101.0,100.0,104.0,103.0,105.0,104.0,107.0,106.0,66,69,81.0,82.0,--,29°,31°,--,2L,--,--
5,8i,--,95.0,94.0,97.0,96.0,100.0,98.0,102.0,101.0,59,62,80.0,80.0,--,27°,28°,--,1L,--,--
6,8i,--,84.0,77.0,85.0,78.0,135.0,127.0,137.0,128.0,3,3,103.0,106.0,--,4°,5°,--,0,--,--
7,8i,--,116.0,114.0,121.0,119.0,150.0,148.0,155.0,153.0,26,30,83.0,84.0,--,8°,9°,--,2L,--,--
8,8i,--,73.0,71.0,74.0,72.0,101.0,98.0,102.0,100.0,20,23,71.0,72.0,--,17°,19°,--,2L,--,--
9,8i,--,94.0,93.0,96.0,95.0,100.0,98.0,102.0,101.0,59,62,78.0,79.0,--,29°,30°,--,0,--,--
10,8i,--,97.0,96.0,101.0,100.0,105.0,104.0,107.0,106.0,56,59,80.0,80.0,--,27°,28°,--,1L,--,--
11,7i,--,108.0,107.0,113.0,112.0,139.0,138.0,143.0,142.0,26,30,94.0,96.0,--,13°,14°,--,3R,--,--
12,7i,--,124.0,122.0,130.0,129.0,163.0,162.0,170.0,167.0,30,30,99.0,102.0,--,11°,13°,--,0,--,--
13,7i,--,112.0,110.0,116.0,115.0,116.0,115.0,120.0,119.0,72,72,89.0,91.0,--,26°,28°,--,1R,--,--
14,7i,--,20.0,16.0,20.0,16.0,51.0,49.0,51.0,49.0,3,3,51.0,51.0,--,9°,10°,--,0,--,--
15,7i,--,69.0,67.0,70.0,68.0,102.0,100.0,102.0,101.0,16,16,77.0,78.0,--,13°,14°,--,2L,--,--
16,7i,--,107.0,106.0,110.0,109.0,112.0,110.0,116.0,114.0,59,62,85.0,86.0,--,25°,26°,--,0,--,--
