Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
4,8i,--,78.0,77.0,79.0,78.0,92.0,90.0,93.0,91.0,33,33,70.0,71.0,--,22°,24°,--,1L,--,--
5,8i,--,73.0,73.0,74.0,74.0,77.0,75.0,78.0,77.0,49,49,68.0,68.0,--,33°,34°,--,1R,--,--
6,8i,--,92.0,91.0,93.0,93.0,94.0,93.0,95.0,94.0,75,79,78.0,79.0,--,32°,33°,--,0,--,--
7,8i,--,35.0,24.0,35.0,24.0,85.0,74.0,85.0,74.0,0,0,76.0,76.0,--,1°,2°,--,1L,--,--
8,8i,--,80.0,80.0,81.0,81.0,83.0,83.0,84.0,84.0,59,59,68.0,69.0,--,33°,34°,--,0,--,--
9,8i,--,81.0,80.0,82.0,81.0,86.0,85.0,87.0,86.0,46,46,73.0,73.0,--,26°,28°,--,2R,--,--
10,8i,--,72.0,71.0,73.0,72.0,91.0,91.0,92.0,91.0,26,26,73.0,73.0,--,21°,22°,--,2R,--,--
11,8i,--,84.0,83.0,85.0,84.0,95.0,94.0,97.0,96.0,39,39,72.0,72.0,--,23°,25°,--,2L,--,--
12,8i,--,89.0,89.0,91.0,90.0,106.0,106.0,108.0,107.0,33,33,80.0,80.0,--,19°,21°,--,2R,--,--
13,8i,--,116.0,116.0,121.0,121.0,132.0,132.0,138.0,138.0,49,49,95.0,98.0,--,18°,20°,--,2L,--,--
14,8i,--,17.0,15.0,17.0,15.0,44.0,43.0,44.0,43.0,3,3,35.0,35.0,--,11°,12°,--,0,--,--
15,8i,--,116.0,115.0,120.0,119.0,141.0,141.0,147.0,145.0,30,33,97.0,99.0,--,13°,14°,--,2R,--,--
16,8i,--,34.0,26.0,34.0,26.0,87.0,81.0,89.0,81.0,0,0,66.0,66.0,--,5°,5°,--,1R,--,--
17,8i,--,30.0,27.0,30.0,27.0,58.0,56.0,58.0,56.0,7,7,50.0,50.0,--,18°,19°,--,0,--,--
18,8i,--,24.0,20.0,24.0,20.0,65.0,60.0,65.0,60.0,3,3,52.0,52.0,--,7°,8°,--,0,--,--
19,8i,--,89.0,87.0,91.0,89.0,92.0,91.0,94.0,92.0,59,59,77.0,78.0,--,27°,29°,--,1R,--,--
20,8i,--,25.0,24.0,25.0,24.0,51.0,49.0,51.0,49.0,7,7,41.0,41.0,--,22°,23°,--,0,--,--
21,8i,--,38.0,31.0,38.0,31.0,89.0,81.0,89.0,81.0,0,0,95.0,97.0,--,4°,4°,--,0,--,--
22,8i,--,24.0,22.0,24.0,22.0,55.0,54.0,55.0,54.0,3,3,48.0,48.0,--,14°,16°,--,0,--,--
23,D,--,86.0,83.0,89.0,84.0,128.0,125.0,130.0,126.0,13,13,89.0,91.0,--,9°,10°,--,2L,--,--
24,D,--,179.0,179.0,198.0,198.0,196.0,196.0,213.0,213.0,89,98,130.0,136.0,--,14°,16°,--,3L,--,--
25,D,--,173.0,173.0,189.0,189.0,206.0,206.0,222.0,222.0,49,52,132.0,139.0,--,10°,11°,--,9L,--,--
26,D,--,124.0,125.0,130.0,131.0,162.0,163.0,168.0,170.0,23,23,121.0,126.0,--,10°,11°,--,5L,--,--
27,D,--,179.0,179.0,198.0,198.0,217.0,217.0,234.0,234.0,39,43,132.0,139.0,--,9°,10°,--,3L,--,--
28,D,--,32.0,30.0,32.0,30.0,65.0,62.0,65.0,62.0,7,7,53.0,53.0,--,14°,16°,--,1L,--,--
29,D,--,144.0,145.0,155.0,155.0,187.0,187.0,197.0,198.0,26,26,124.0,129.0,--,8°,9°,--,3R,--,--
30,D,--,160.0,161.0,173.0,175.0,196.0,197.0,210.0,211.0,39,43,121.0,126.0,--,11°,12°,--,1L,--,--
31,D,--,174.0,174.0,191.0,191.0,188.0,188.0,206.0,206.0,72,79,132.0,138.0,--,13°,14°,--,5R,--,--
32,D,--,34.0,32.0,34.0,32.0,65.0,62.0,65.0,62.0,7,7,62.0,62.0,--,17°,18°,--,1L,--,--
33,D,--,65.0,62.0,65.0,63.0,112.0,109.0,113.0,110.0,7,7,125.0,130.0,--,7°,7°,--,2L,--,--
34,D,--,175.0,175.0,192.0,192.0,194.0,194.0,211.0,211.0,79,85,124.0,129.0,--,15°,17°,--,4R,--,--
35,D,--,177.0,176.0,196.0,194.0,206.0,205.0,224.0,222.0,52,56,126.0,132.0,--,11°,12°,--,1L,--,--
36,D,--,129.0,129.0,137.0,137.0,167.0,168.0,175.0,175.0,26,26,116.0,121.0,--,10°,11°,--,4L,--,--
37,D,--,178.0,178.0,196.0,196.0,199.0,199.0,218.0,218.0,72,79,126.0,131.0,--,14°,15°,--,1L,--,--
38,D,--,54.0,50.0,54.0,50.0,105.0,102.0,105.0,102.0,3,3,99.0,102.0,--,6°,7°,--,1L,--,--
39,D,--,178.0,178.0,197.0,197.0,205.0,206.0,223.0,223.0,59,66,125.0,130.0,--,13°,14°,--,3L,--,--
40,D,--,160.0,160.0,174.0,174.0,198.0,198.0,211.0,211.0,33,36,123.0,128.0,--,9°,10°,--,3L,--,--
41,D,--,14.0,13.0,14.0,13.0,24.0,24.0,24.0,24.0,7,7,24.0,24.0,--,36°,37°,--,0,--,--
42,D,--,175.0,175.0,191.0,191.0,191.0,191.0,208.0,209.0,75,82,122.0,127.0,--,15°,17°,--,0,--,--
43,D,--,168.0,168.0,185.0,185.0,187.0,187.0,203.0,203.0,72,79,120.0,125.0,--,15°,17°,--,1R,--,--
44,D,--,40.0,31.0,40.0,31.0,103.0,93.0,103.0,93.0,0,0,103.0,105.0,--,3°,3°,--,0,--,--
45,D,--,113.0,113.0,117.0,117.0,154.0,154.0,159.0,159.0,20,20,117.0,121.0,--,9°,10°,--,5R,--,--
46,D,--,107.0,112.0,110.0,116.0,143.0,149.0,148.0,153.0,10,13,119.0,124.0,--,9°,9°,--,3L,--,--
47,D,--,137.0,137.0,145.0,145.0,154.0,155.0,163.0,164.0,52,56,116.0,121.0,--,14°,15°,--,9R,--,--
48,D,--,125.0,125.0,131.0,131.0,144.0,145.0,151.0,152.0,43,46,111.0,116.0,--,13°,14°,--,8R,--,--
49,D,--,156.0,156.0,170.0,170.0,174.0,174.0,187.0,187.0,62,69,116.0,121.0,--,14°,15°,--,4R,--,--
50,D,--,155.0,155.0,167.0,167.0,168.0,168.0,180.0,180.0,72,79,119.0,124.0,--,16°,17°,--,7R,--,--
51,D,--,93.0,95.0,95.0,97.0,128.0,129.0,130.0,131.0,16,20,81.0,82.0,--,10°,11°,--,3L,--,--
52,D,--,30.0,25.0,30.0,25.0,81.0,75.0,81.0,75.0,3,3,66.0,66.0,--,6°,7°,--,1R,--,--
53,D,--,163.0,163.0,177.0,177.0,171.0,171.0,185.0,185.0,72,75,121.0,126.0,--,14°,15°,--,2R,--,--
